country,decade,player1,player2,player3,player4,player5,player6,player7,
georgia,2000,レヴァン・コビアシヴィリ,,,,,,,
georgia,2020,フヴィチャ・クヴァラツヘリア,ギオルギ・ママルダシュヴィリ,ジョルジュ・ミカウタゼ,,,,,
iceland,2000,エイドゥル・グジョンセン,,,,,,,
iceland,2010,ギルフィ・シグルズソン,アロン・グンナルソン,ハンネス・ハルドールソン,,,,,
hungary,2000,ゾルターン・ゲラ,ガーボル・キラーイ,,,,,,
hungary,2010,バラージュ・ジュジャーク,アーダーム・サライ,,,,,,
hungary,2020,ドミニク・ソボスライ,,,,,,,
finland,1990,ヤリ・リトマネン,,,,,,,
finland,2000,サミ・ヒーピア,ミカエル・フォルセル,,,,,,
finland,2020,テーム・プッキ,ルーカス・フラデツキー,,,,,,
north-macedonia,2000,ゴラン・パンデフ,,,,,,,
