country,decade,player1,player2,player3,player4,player5,player6,player7,
trinidad-and-tobago,2000,ドワイト・ヨーク,,,,,,,
jamaica,1990,ディオン・バートン,セオドア・ウィットモア,リカルド・ガードナー,,,,,
jamaica,2010,ウェズ・モーガン,,,,,,,
jamaica,2020,マイケル・アントニオ,レオン・ベイリー,,,,,,
honduras,2000,ダビド・スアソ,,,,,,,
honduras,2010,ウィルソン・パラシオス,マイノル・フィゲロア,,,,,,
morocco,1990,ヌールディン・ナイベト,ムスタファ・ハッジ,,,,,,
morocco,2000,マルアン・シャマフ,,,,,,,
morocco,2010,メディ・ベナティア,,,,,,,
morocco,2020,ハキム・ツィエク,ヤシン・ブヌ,ソフィアン・アムラバト,ユセフ・エン＝ネシリ,アクラフ・ハキミ,,,
nigeria,1990,ラシディ・イエキニ,ダニエル・アモカチ,フィニディ・ジョージ,ジェイ＝ジェイ・オコチャ,サンデー・オリセー,ヌワンコ・カヌ,タリボ・ウェスト,
nigeria,2000,ジョセフ・ヨボ,オバフェミ・マルティンス,ヤクブ・アイェグベニ,ピーター・オデムウィンギー,,,,
nigeria,2010,ヴィンセント・エニェアマ,ジョン・オビ・ミケル,ヴィクター・モーゼス,アーメド・ムサ,,,,
nigeria,2020,ウィルフレッド・エンディディ,アレックス・イウォビ,ヴィクター・オシムヘン,アデモラ・ルックマン,,,,
cameroon,1990,ロジェ・ミラ,トーマス・ヌコノ,フランソワ・オマン＝ビイク,,,,,
cameroon,2000,パトリック・エムボマ,リゴベール・ソング,マルク＝ヴィヴィアン・フォエ,ジェレミ・ヌジタップ,サミュエル・エトー,,,
cameroon,2010,アレクサンドル・ソング,,,,,,,
cameroon,2020,ヴァンサン・アブバカル,アンドレ・オナナ,ブライアン・ムベウモ,カルロス・バレバ,,,,
cote-divoire,2000,ディディエ・ドログバ,コロ・トゥーレ,ディディエ・ゾコラ,ヤヤ・トゥーレ,エマニュエル・エブエ,,,
cote-divoire,2010,サロモン・カルー,ジェルヴィーニョ,セルジュ・オーリエ,,,,,
cote-divoire,2020,フランク・ケシエ,シモン・アディングラ,ウスマン・ディオマンデ,オディロン・コスヌ,,,,
algeria,2010,マジド・ブゲラ,ソフィアン・フェグリ,ヤシン・ブラヒミ,イスラム・スリマニ,リヤド・マフレズ,ナビル・ベンタレブ,,
algeria,2020,イスマエル・ベナセル,ラヤン・アイト＝ヌーリ,アミン・グイリ,,,,,
egypt,2000,モハメド・アブトレイカ,アーメド・ホッサム,,,,,,
egypt,2010,モハメド・サラー,モハメド・エルネニー,,,,,,
