season,window,league_key,start_date,end_date,note
2026-27,summer,premier-league,2026-06-15,2026-09-01,
2026-27,summer,laliga,2026-07-01,2026-09-01,
2026-27,summer,bundesliga,2026-07-01,2026-09-02,
2026-27,summer,serie-a,2026-06-29,2026-09-01,
2026-27,summer,ligue-1,2026-06-15,2026-09-01,
2026-27,summer,eredivisie,2026-06-22,2026-09-02,
2026-27,summer,primeira-liga,2026-07-01,2026-09-01,
2026-27,summer,scottish-premiership,2026-06-15,2026-09-03,
