competition,edition,title_ja,format_type,champion_club_key,runner_up_club_key,third_place_note,summary_note,updated_at
UCL,2025-26,UEFAチャンピオンズリーグ 2025-26,league_phase,paris-saint-germain,arsenal,,リーグフェーズ形式で開催。,2026-05-31
UCL,2024-25,UEFAチャンピオンズリーグ 2024-25,league_phase,paris-saint-germain,inter,,リーグフェーズ形式で開催。,2025-05-31
