competition,edition,match_id,event_id,event_type,team,player,assist,minute,period,round,vs,note
WC,2022,WC-2022-MD005,1,GOAL,セネガル,Ismaïla Sarr,,44,1H,GL3,エクアドル,PK
WC,2022,WC-2022-MD005,2,GOAL,エクアドル,Moisés Caicedo,,67,2H,GL3,セネガル,
WC,2022,WC-2022-MD005,3,GOAL,セネガル,Kalidou Koulibaly,,70,2H,GL3,エクアドル,
WC,2022,WC-2022-MD006,1,GOAL,オランダ,Cody Gakpo,,26,1H,GL3,カタール,
WC,2022,WC-2022-MD006,2,GOAL,オランダ,Frenkie de Jong,,49,2H,GL3,カタール,
WC,2022,WC-2022-MD012,1,GOAL,アメリカ,Christian Pulisic,,38,1H,GL3,イラン,
WC,2022,WC-2022-MD011,1,GOAL,イングランド,Marcus Rashford,,50,2H,GL3,ウェールズ,
WC,2022,WC-2022-MD011,2,GOAL,イングランド,Phil Foden,,51,2H,GL3,ウェールズ,
WC,2022,WC-2022-MD011,3,GOAL,イングランド,Marcus Rashford,,68,2H,GL3,ウェールズ,
WC,2022,WC-2022-MD023,1,GOAL,オーストラリア,Mathew Leckie,,60,2H,GL3,デンマーク,
WC,2022,WC-2022-MD024,1,GOAL,チュニジア,Wahbi Khazri,,58,2H,GL3,フランス,
WC,2022,WC-2022-MD017,1,GOAL,アルゼンチン,Alexis Mac Allister,,46,2H,GL3,ポーランド,
WC,2022,WC-2022-MD017,2,GOAL,アルゼンチン,Julián Álvarez,,67,2H,GL3,ポーランド,
WC,2022,WC-2022-MD018,1,GOAL,メキシコ,Henry Martín,,47,2H,GL3,サウジアラビア,
WC,2022,WC-2022-MD018,2,GOAL,メキシコ,Luis Chávez,,52,2H,GL3,サウジアラビア,
WC,2022,WC-2022-MD018,3,GOAL,サウジアラビア,Salem Al-Dawsari,,90+5,2H,GL3,メキシコ,
WC,2022,WC-2022-MD036,1,GOAL,モロッコ,Hakim Ziyech,,4,1H,GL3,カナダ,
WC,2022,WC-2022-MD036,2,GOAL,モロッコ,Youssef En-Nesyri,,23,1H,GL3,カナダ,
WC,2022,WC-2022-MD036,3,OWN_GOAL,カナダ,Nayef Aguerd,,40,1H,GL3,モロッコ,
WC,2022,WC-2022-MD030,1,GOAL,ドイツ,Serge Gnabry,,10,1H,GL3,コスタリカ,
WC,2022,WC-2022-MD030,2,GOAL,コスタリカ,Yeltsin Tejeda,,58,2H,GL3,ドイツ,
WC,2022,WC-2022-MD030,3,GOAL,コスタリカ,Juan Pablo Vargas,,70,2H,GL3,ドイツ,
WC,2022,WC-2022-MD030,4,GOAL,ドイツ,Kai Havertz,,73,2H,GL3,コスタリカ,
WC,2022,WC-2022-MD030,5,GOAL,ドイツ,Kai Havertz,,85,2H,GL3,コスタリカ,
WC,2022,WC-2022-MD030,6,GOAL,ドイツ,Niclas Füllkrug,,89,2H,GL3,コスタリカ,
WC,2022,WC-2022-MD029,1,GOAL,スペイン,Álvaro Morata,,11,1H,GL3,日本,
WC,2022,WC-2022-MD029,2,GOAL,日本,Ritsu Dōan,,48,2H,GL3,スペイン,
WC,2022,WC-2022-MD029,3,GOAL,日本,Ao Tanaka,,51,2H,GL3,スペイン,
WC,2022,WC-2022-MD047,1,GOAL,ウルグアイ,Giorgian De Arrascaeta,,26,1H,GL3,ガーナ,
WC,2022,WC-2022-MD047,2,GOAL,ウルグアイ,Giorgian De Arrascaeta,,32,1H,GL3,ガーナ,
WC,2022,WC-2022-MD048,1,GOAL,ポルトガル,Ricardo Horta,,5,1H,GL3,韓国,
WC,2022,WC-2022-MD048,2,GOAL,韓国,Young-gwon Kim,,27,1H,GL3,ポルトガル,
WC,2022,WC-2022-MD048,3,GOAL,韓国,Hee-chan Hwang,,90+1,2H,GL3,ポルトガル,
WC,2022,WC-2022-MD042,1,GOAL,カメルーン,Vincent Aboubakar,,90+2,2H,GL3,ブラジル,
WC,2022,WC-2022-MD041,1,GOAL,スイス,Xherdan Shaqiri,,20,1H,GL3,セルビア,
WC,2022,WC-2022-MD041,2,GOAL,セルビア,Aleksandar Mitrović,,26,1H,GL3,スイス,
