club_key,decade,player1,player2,player3,player4,player5,
marseille,2010,スティーヴ・マンダンダ,マテュー・ヴァルブエナ,アンドレ＝ピエール・ジニャック,酒井宏樹,ディミトリ・パイェ,
marseille,2020,ピエール＝エメリク・オーバメヤン,レオナルド・バレルディ,メイソン・グリーンウッド,,,
celtic,1990,,,,,,
celtic,2000,ヘンリク・ラーション,クリス・サットン,スティリアン・ペトロフ,中村俊輔,,
celtic,2010,スコット・ブラウン,ジェームズ・フォレスト,ムサ・デンベレ,キーラン・ティアニー,,
celtic,2020,カラム・マグレガー,古橋亨梧,前田大然,旗手怜央,,
porto,1990,ヴィトール・バイーア,ジョルジュ・コスタ,マリオ・ジャルデウ,,,
porto,2000,デコ,リカルド・カルヴァーリョ,マニシェ,リサンドロ・ロペス,,
porto,2010,フッキ,ラダメル・ファルカオ,ジョアン・モウティーニョ,ジャクソン・マルティネス,,
porto,2020,ペペ,オタヴィオ,メフディ・タレミ,ディオゴ・コスタ,,
benfica,1990,ルイ・コスタ,ジョアン・ピント,モゼール,,,
benfica,2000,シモン・サブローザ,ヌーノ・ゴメス,ルイゾン,,,
benfica,2010,オスカル・カルドソ,ニコラス・ガイタン,ジョナス,,,
benfica,2020,ラファ・シウバ,アレハンドロ・グリマルド,ニコラス・オタメンディ,,,
sporting,1990,ルイス・フィーゴ,クラシミール・バラコフ,ペドロ・バルボーザ,,,
sporting,2000,マリオ・ジャルデウ,リカルド・サ・ピント,リエジソン,ジョアン・モウティーニョ,,
sporting,2010,ルイ・パトリシオ,ウィリアム・カルヴァーリョ,ブルーノ・フェルナンデス,,,
sporting,2020,セバスティアン・コアテス,ペドロ・ゴンサウヴェス,守田英正,ヴィクトル・ギェケレシュ,,
bayern-munich,1990,ローター・マテウス,メーメット・ショル,ユルゲン・クリンスマン,ジョバネ・エウベル,,
bayern-munich,2000,オリバー・カーン,シュテファン・エッフェンベルク,ミヒャエル・バラック,フィリップ・ラーム,バスティアン・シュヴァインシュタイガー,
bayern-munich,2010,フランク・リベリー,アリエン・ロッベン,トーマス・ミュラー,マヌエル・ノイアー,ロベルト・レヴァンドフスキ,
bayern-munich,2020,ヨシュア・キミッヒ,ジャマル・ムシアラ,ハリー・ケイン,,,
borussia-dortmund,1990,ミヒャエル・ツォルク,マティアス・ザマー,アンドレアス・メラー,カール＝ハインツ・リードレ,,
borussia-dortmund,2000,ラース・リッケン,トマーシュ・ロシツキー,ヤン・コレル,セバスティアン・ケール,,
borussia-dortmund,2010,ロベルト・レヴァンドフスキ,香川真司,マッツ・フンメルス,マルコ・ロイス,ピエール＝エメリク・オーバメヤン,
borussia-dortmund,2020,ジュード・ベリンガム,アーリング・ハーランド,グレゴール・コベル,ユリアン・ブラント,,
bayer-leverkusen,1990,ウルフ・キルステン,ベルント・シュスター,イェンス・ノヴォトニー,,,
bayer-leverkusen,2000,ミヒャエル・バラック,ルシオ,ベルント・シュナイダー,ディミタール・ベルバトフ,シュテファン・キースリンク,
bayer-leverkusen,2010,ラース・ベンダー,ベルント・レノ,ソン・フンミン,カイ・ハフェルツ,,
bayer-leverkusen,2020,ヨナタン・ター,ジェレミー・フリンポン,グラニト・ジャカ,アレハンドロ・グリマルド,フロリアン・ヴィルツ,
eintracht-frankfurt,1990,ウーヴェ・バイン,アンソニー・イエボア,ジェイ＝ジェイ・オコチャ,,,
eintracht-frankfurt,2000,アレクサンダー・マイヤー,イオアニス・アマナティディス,,,,
eintracht-frankfurt,2010,長谷部誠,アンテ・レビッチ,ルカ・ヨヴィッチ,セバスティアン・アレ,,
eintracht-frankfurt,2020,鎌田大地,フィリップ・コスティッチ,ケヴィン・トラップ,オマル・マーモウシュ,堂安律,
manchester-united,1990,エリック・カントナ,ピーター・シュマイケル,ライアン・ギグス,ロイ・キーン,デイヴィッド・ベッカム,
manchester-united,2000,ポール・スコールズ,リオ・ファーディナンド,ルート・ファン・ニステルローイ,ウェイン・ルーニー,クリスティアーノ・ロナウド,
manchester-united,2010,ロビン・ファン・ペルシ,マイケル・キャリック,ダビド・デ・ヘア,フアン・マタ,ポール・ポグバ,
manchester-united,2020,ブルーノ・フェルナンデス,マーカス・ラッシュフォード,ハリー・マグワイア,,,
liverpool,1990,イアン・ラッシュ,ジョン・バーンズ,ロビー・ファウラー,スティーヴ・マクマナマン,ジェイミー・キャラガー,
liverpool,2000,サミ・ヒーピア,マイケル・オーウェン,スティーヴン・ジェラード,シャビ・アロンソ,フェルナンド・トーレス,
liverpool,2010,ルイス・スアレス,ジョーダン・ヘンダーソン,フィリペ・コウチーニョ,サディオ・マネ,フィルジル・ファン・ダイク,
liverpool,2020,アリソン・ベッカー,トレント・アレクサンダー＝アーノルド,アンドリュー・ロバートソン,モハメド・サラー,,
arsenal,1990,トニー・アダムス,デニス・ベルカンプ,イアン・ライト,パトリック・ヴィエラ,マルク・オーフェルマルス,
arsenal,2000,ティエリ・アンリ,ロベール・ピレス,ソル・キャンベル,フレドリック・ユングベリ,セスク・ファブレガス,
arsenal,2010,ロビン・ファン・ペルシ,サンティ・カソルラ,メスト・エジル,アレクシス・サンチェス,アーロン・ラムジー,
arsenal,2020,ブカヨ・サカ,マルティン・ウーデゴール,デクラン・ライス,ウィリアン・サリバ,,
chelsea,1990,デニス・ワイズ,ジャンフランコ・ゾラ,ダン・ペトレスク,ロベルト・ディ・マッテオ,マルセル・デサイー,
chelsea,2000,ジョン・テリー,フランク・ランパード,ディディエ・ドログバ,ペトル・チェフ,クロード・マケレレ,
chelsea,2010,アシュリー・コール,ブラニスラヴ・イヴァノヴィッチ,エデン・アザール,セサル・アスピリクエタ,エンゴロ・カンテ,
chelsea,2020,チアゴ・シウバ,メイソン・マウント,コール・パーマー,,,
manchester-city,1990,ナイアル・クイン,ゲオルギ・キンクラーゼ,,,,
