club_key,league_key,league_display,club_display_ja,club_display_en,sort_ja,aliases,status,notes,,
west-ham-united,premier-league,Premier League,ウェストハム・ユナイテッド,West Ham United,ウェストハム・ユナイテッド,,active,,,
wolves,premier-league,Premier League,ウルヴァーハンプトン・ワンダラーズ,Wolverhampton Wanderers,ウルヴァーハンプトン・ワンダラーズ,ウルバーハンプトン・ワンダラーズ,active,,,
everton,premier-league,Premier League,エヴァートン,Everton,エヴァートン,エヴァートンFC,active,,,
crystal-palace,premier-league,Premier League,クリスタル・パレス,Crystal Palace,クリスタル・パレス,クリスタル・パレスFC,active,,,
sunderland,premier-league,Premier League,サンダーランド,Sunderland ,サンダーランド,サンダーランドAFC,active,,,
chelsea,premier-league,Premier League,チェルシー,Chelsea,チェルシー,チェルシーFC,active,,,
tottenham-hotspur,premier-league,Premier League,トッテナム・ホットスパー,Tottenham Hotspur,トッテナム・ホットスパー,,active,,,
newcastle-united,premier-league,Premier League,ニューカッスル・ユナイテッド,Newcastle United,ニューカッスル・ユナイテッド,ニューカッスル・ユナイテッドFC,active,,,
nottingham-forest,premier-league,Premier League,ノッティンガム・フォレスト,Nottingham Forest,ノッティンガム・フォレスト,,active,,,
burnley,premier-league,Premier League,バーンリー,Burnley,バーンリー,バーンリーFC,active,,,
fulham,premier-league,Premier League,フラム,Fulham,フラム,フラムFC|Fulham FC,active,,,
brighton,premier-league,Premier League,ブライトン・アンド・ホーヴ・アルビオン,Brighton & Hove Albion,ブライトン・アンド・ホーヴ・アルビオン,ブライトン&ホーヴ・アルビオン,active,,,
brentford,premier-league,Premier League,ブレントフォード,Brentford,ブレントフォード,ブレントフォードFC|Brentford FC,active,,,
bournemouth,premier-league,Premier League,ボーンマス,AFC Bournemouth,ボーンマス,AFCボーンマス,active,,,
manchester-city,premier-league,Premier League,マンチェスター・シティ,Manchester City,マンチェスター・シティ,マンチェスター・シティFC,active,,,
manchester-united,premier-league,Premier League,マンチェスター・ユナイテッド,Manchester United,マンチェスター・ユナイテッド,マンチェスター・ユナイテッドFC,active,,,
liverpool,premier-league,Premier League,リヴァプール,Liverpool FC,リヴァプール,リヴァプールFC,active,,,
