match-id,slug,competition,edition,md,stage,group,sec,datetime-local,home,home_key,away,away_key,stadium,home_score,away_score,home_score_pk,away_score_pk,mom,mom_team,note,updated_at
WC-2026-MD026,switzerland-vs-bosnia-and-herzegovina,WC,2026,MD026,Group-Phase,B,第２節,6/19(金)04:00,スイス,switzerland,ボスニア・ヘルツェゴビナ,bosnia-and-herzegovina,ロサンゼルススタジアム,4,1,,,ヨハン・マンザンビ,スイス,,2026/6/19
WC-2026-MD027,canada-vs-qatar,WC,2026,MD027,Group-Phase,B,第２節,6/19(金)07:00,カナダ,canada,カタール,qatar,BCプレイスバンクーバー,6,0,,,ジョナサン・デイヴィッド,カナダ,,2026/6/19
WC-2026-MD028,mexico-vs-south-korea,WC,2026,MD028,Group-Phase,A,第２節,6/19(金)10:00,メキシコ,mexico,韓国,south-korea,エスタディオ・グアダラハラ,1,0,,,ルイス・ロモ,メキシコ,,2026/6/19
WC-2026-MD029,usa-vs-australia,WC,2026,MD029,Group-Phase,D,第２節,6/20(土)04:00,アメリカ,usa,オーストラリア,australia,シアトルスタジアム,2,0,,,フォラリン・バログン,アメリカ,,2026/6/20
WC-2026-MD030,scotland-vs-morocco,WC,2026,MD030,Group-Phase,C,第２節,6/20(土)07:00,スコットランド,scotland,モロッコ,morocco,ボストンスタジアム,0,1,,,イスマエル・サイバリ,モロッコ,,2026/6/20
WC-2026-MD031,brazil-vs-haiti,WC,2026,MD031,Group-Phase,C,第２節,6/20(土)09:30,ブラジル,brazil,ハイチ,haiti,フィラデルフィアスタジアム,3,0,,,ヴィニシウス・ジュニオール,ブラジル,,2026/6/20
WC-2026-MD032,turkey-vs-paraguay,WC,2026,MD032,Group-Phase,D,第２節,6/20(土)12:00,トルコ,turkey,パラグアイ,paraguay,サンフランシスコベイエリアスタジアム,0,1,,,マティアス・ガラルサ,パラグアイ,,2026/6/20
WC-2026-MD033,netherlands-vs-sweden,WC,2026,MD033,Group-Phase,F,第２節,6/21(日)02:00,オランダ,netherlands,スウェーデン,sweden,ヒューストンスタジアム,5,1,,,コーディ・ガクポ,オランダ,,2026/6/21
WC-2026-MD034,germany-vs-cote-divoire,WC,2026,MD034,Group-Phase,E,第２節,6/21(日)05:00,ドイツ,germany,コートジボワール,cote-divoire,トロントスタジアム,2,1,,,デニス・ウンダフ,ドイツ,,2026/6/21
WC-2026-MD035,ecuador-vs-curacao,WC,2026,MD035,Group-Phase,E,第２節,6/21(日)09:00,エクアドル,ecuador,キュラソー,curacao,カンザスシティースタジアム,0,0,,,エロイ・ローム,キュラソー,,2026/6/21
WC-2026-MD036,tunisia-vs-japan,WC,2026,MD036,Group-Phase,F,第２節,6/21(日)13:00,チュニジア,tunisia,日本,japan,エスタディオ・モンテレイ,0,4,,,上田綺世,日本,,2026/6/21
WC-2026-MD037,spain-vs-saudi-arabia,WC,2026,MD037,Group-Phase,H,第２節,6/22(月)01:00,スペイン,spain,サウジアラビア,saudi-arabia,アトランタスタジアム,4,0,,,ミケル・オヤルサバル,スペイン,,2026/6/22
WC-2026-MD038,belgium-vs-iran,WC,2026,MD038,Group-Phase,G,第２節,6/22(月)04:00,ベルギー,belgium,イラン,iran,ロサンゼルススタジアム,0,0,,,アリレザ・ベイランヴァンド,イラン,,2026/6/22
WC-2026-MD039,uruguay-vs-cape-verde,WC,2026,MD039,Group-Phase,H,第２節,6/22(月)07:00,ウルグアイ,uruguay,カーボベルデ,cape-verde,マイアミスタジアム,2,2,,,ケヴィン・レニニ,カーボベルデ,,2026/6/22
WC-2026-MD040,new-zealand-vs-egypt,WC,2026,MD040,Group-Phase,G,第２節,6/22(月)10:00,ニュージーランド,new-zealand,エジプト,egypt,BCプレイスバンクーバー,1,3,,,モハメド・サラー,エジプト,,2026/6/22
WC-2026-MD041,argentina-vs-austria,WC,2026,MD041,Group-Phase,J,第２節,6/23(火)02:00,アルゼンチン,argentina,オーストリア,austria,ダラススタジアム,2,0,,,リオネル・メッシ,アルゼンチン,,2026/6/23
WC-2026-MD042,france-vs-iraq,WC,2026,MD042,Group-Phase,I,第２節,6/23(火)06:00,フランス,france,イラク,iraq,フィラデルフィアスタジアム,3,0,,,キリアン・エムバペ,フランス,,2026/6/23
WC-2026-MD043,norway-vs-senegal,WC,2026,MD043,Group-Phase,I,第２節,6/23(火)09:00,ノルウェー,norway,セネガル,senegal,ニューヨーク/ニュージャージースタジアム,3,2,,,エルリング・ブラウト・ホランド,ノルウェー,,2026/6/23
